comment_id,author,text,like_count,published_at
UgyNUwVa4gTZhnFIKwJ4AaABAg,@crunchyroll,Watch JUJUTSU KAISEN here! got.cr/cc-jjkpv,8096,2025-08-31T17:16:32Z
UgyT9tdEPh45MO7z6Ct4AaABAg,@avbareyes6651,bro my uncle is going to see this he love anime jjk but he was waiting in S3,0,2025-11-10T02:52:48Z
UgyRfW1maTKGIEQNRxJ4AaABAg,@Roro_XQ,✨ Now let the game begin ✨,0,2025-11-09T23:59:40Z
UgzI1tWUJ_U7t8_0jwt4AaABAg,@TopeTope-je8cs,0:45 خير ليش يوتا شكله يختلف؟؟ ترا هو احلا من كذاااااا,1,2025-11-09T20:56:16Z
UgzQAaiLYXzefZvcIWp4AaABAg,@chrislm2019,Imagine gojo vs sukuna animated,3,2025-11-09T20:33:48Z
UgyoV3yzWzN4MYdBtnd4AaABAg,@teenonkahungama,Were is gojo,1,2025-11-09T18:30:37Z
UgyjbGVMILSa_9kbMot4AaABAg,@GrandDukePrinceAlexeiTsarevich,I was happy when I start watching JJK but not anymore because this show have already lose it meaning 😭,1,2025-11-09T16:49:05Z
UgzsE330fvlZT8L9xJt4AaABAg,@nilsseba2080,No anime can ever top season 2 it was just to good,1,2025-11-09T16:42:36Z
UgwZNI9RjpCJvZR68fp4AaABAg,@HNR_FF,Missing 😢 gojo ❤,1,2025-11-09T16:26:47Z
UgxKwq4IEPv8LWnmMB14AaABAg,@rubikssly2551,Let these people see their families jeez 😭🥀💔,1,2025-11-09T16:13:23Z
UgzccU0J0mimpY5HQNh4AaABAg,,Guys THIS WILL GET DELAYED JUST WATCH!,1,2025-11-09T16:05:43Z
UgxoEbYyYJkEcHS4ISR4AaABAg,@pawPatoes,also how rika didnt the curse break,2,2025-11-09T15:54:13Z
Ugw-4LYhXjR-9xg4TYF4AaABAg,@pawPatoes,YUJI IS EVERYONES BRO,3,2025-11-09T15:54:05Z
UgxvImcz0w7BBGVi45d4AaABAg,@KingEmuekpere,"peak, can't wait in 2 months time",2,2025-11-09T15:20:25Z
UgzxeJG-3f2Q8U-rNSV4AaABAg,@tamilasaultstatus8831,Cant wait,2,2025-11-09T14:57:12Z
Ugxz1jtspUG6Ugl1KC54AaABAg,@Light_46547,Is gojo vs sukuna in this season,0,2025-11-09T14:51:05Z
